2025-11-07 22:34:44,657 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-11-07 22:36:23,667 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-11-07 22:47:14,026 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-11-07 22:47:14,054 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2025-11-07 22:47:14,055 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-11-07 22:47:14,659 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-11-07 22:47:14,659 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-11-07 22:47:14,659 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-11-07 22:47:14,702 - kafka.cluster - WARNING - Topic market_data is not available during auto-create initialization
2025-11-07 22:47:14,825 - kafka.cluster - WARNING - Topic market_data is not available during auto-create initialization
2025-11-07 22:47:14,933 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.585, 'd': -1.185, 'dp': -0.4393, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535782}, 'timestamp': 1762535834.6580646}
2025-11-07 22:47:15,695 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 426.66, 'd': -19.25, 'dp': -4.317, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535782}, 'timestamp': 1762535835.6953766}
2025-11-07 22:47:16,261 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.36, 'd': -2.74, 'dp': -0.5512, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535782}, 'timestamp': 1762535836.2616336}
2025-11-07 22:47:18,850 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535838.8492286}
2025-11-07 22:47:19,438 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535839.4373772}
2025-11-07 22:47:20,060 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535840.0601296}
2025-11-07 22:47:22,661 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535842.6610823}
2025-11-07 22:47:23,241 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535843.240837}
2025-11-07 22:47:23,814 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535843.8138406}
2025-11-07 22:47:26,400 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535846.4002533}
2025-11-07 22:47:27,933 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535847.9321074}
2025-11-07 22:47:28,577 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535848.5777535}
2025-11-07 22:47:31,157 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535851.1572993}
2025-11-07 22:47:31,727 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535851.7264287}
2025-11-07 22:47:32,322 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535852.3211303}
2025-11-07 22:47:34,916 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535854.9164095}
2025-11-07 22:47:35,608 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535855.6087527}
2025-11-07 22:47:36,166 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535856.1659136}
2025-11-07 22:47:38,736 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535858.735346}
2025-11-07 22:47:39,287 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535859.2865336}
2025-11-07 22:47:40,387 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535860.3867748}
2025-11-07 22:47:42,946 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535862.945141}
2025-11-07 22:47:43,569 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535863.5695093}
2025-11-07 22:47:44,550 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535864.55055}
2025-11-07 22:47:47,113 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535867.1132405}
2025-11-07 22:47:47,717 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535867.7170694}
2025-11-07 22:47:48,305 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535868.305633}
2025-11-07 22:47:50,865 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535870.8650076}
2025-11-07 22:47:51,424 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535871.4241765}
2025-11-07 22:47:51,988 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535871.9889996}
2025-11-07 22:47:55,046 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535875.045488}
2025-11-07 22:47:55,608 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535875.6081066}
2025-11-07 22:47:56,722 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535876.72214}
2025-11-07 22:47:59,291 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535879.2912204}
2025-11-07 22:48:00,454 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535832}, 'timestamp': 1762535880.4548576}
2025-11-07 22:48:01,054 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535831}, 'timestamp': 1762535881.0538976}
2025-11-07 22:48:03,794 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535831}, 'timestamp': 1762535883.7943156}
